ID,X,Y
1,617016,5055277
2,616901,5058029
3,616383,5056023
4,616408,5053084
5,615939,5051836
6,616013,5050797
7,614386,5051540
8,614806,5049373
9,613467,5049945
10,609889,5052022
11,611739,5050874
12,610435,5054487
13,610432,5055978
14,611121,5056351
15,608897,5054999
16,607350,5053455
17,607864,5051541
18,605903,5050600
19,605890,5049824
20,606448,5048510
21,607446,5048889
22,608416,5048427
23,608903,5047013
24,609895,5048005
25,610447,5048850
26,611350,5046538
27,612419,5048498
28,613827,5048033
29,614916,5046032
30,613888,5044500
31,612886,5045388
32,612509,5044008
33,610397,5045474
34,609892,5044510
35,610850,5043971
36,610439,5042987
37,611375,5042442
38,612808,5042073
39,612985,5040479
40,611386,5040458
41,605058,5048473
42,604438,5047465
43,606373,5047029
44,607354,5045567
45,608903,5046136
46,608885,5043459
47,607579,5043481
48,607393,5042024
49,608908,5041964
50,608206,5040690
51,606882,5040044
52,607869,5039039
53,607434,5037513
54,605871,5038473
55,604386,5039652
56,605165,5041810
57,605952,5042968
58,605916,5044483
59,604538,5044976
60,603391,5043102
61,602923,5043017
62,601401,5043522
63,600042,5042415
64,601778,5041161
65,602405,5038920
66,604115,5040456
67,613141,5043494
68,610552,5041122
69,610519,5039478
70,611945,5038524
71,609834,5038096
72,602810,5032672
73,612311,5036424
74,612444,5035457
75,610863,5035505
76,611853,5034005
77,610798,5032507
78,601426,5033469
79,609477,5035535
80,608181,5036661
82,605949,5036014
83,604478,5036481
84,604432,5035081
85,602714,5033431
86,600304,5032508
87,602421,5031911
88,605439,5032674
89,605401,5030989
90,607403,5031001
91,608917,5031018
92,609410,5033350
93,594465,5039306
94,593886,5037662
95,591854,5035898
96,590622,5036854
97,591857,5039443
99,588421,5037001
100,589317,5034047
101,587539,5034402
102,584403,5034740
103,583841,5030716
104,581894,5029276
105,587494,5032504
106,589944,5031496
107,592609,5032047
108,595397,5033532
109,596441,5032672
110,596326,5033144
111,596251,5033498
201,612690,5057382
202,609392,5049747
203,606597,5050610
204,610291,5042026
205,610054,5046281
206,605420,5046110
207,602558,5041835
208,598844,5041746
209,600330,5040171
210,592939,5039818
211,589339,5036245
212,586629,5033663
213,585754,5030021
214,588316,5032019
215,591097,5033305
216,592800,5034005
217,605702,5040493
218,608476,5041709
219,605709,5037760
220,606204,5037456
221,609126,5036950
222,605248,5036014
223,605347,5034619
224,605466,5033328
416,583678.4505,5029066.202
414,591922.909,5038169.657
409,601225.4183,5042714.473
410,601597.7664,5039979.015
415,590758.7762,5039926.191
98,589971.569,5038919.221
413,594637.1448,5038178.878
404,605254.0796,5047563.817
403,610685.9473,5047138.905
402,613081.0979,5051232.565
401,609180.569,5054150.845
408,607069.9222,5038422.721
407,610843.8456,5037317.654
412,607147.1083,5032060.096
411,606949.1289,5036642.605
81,609219.502,5036168.631
405,605551.3966,5041727.142
406,609398.2134,5039448.225
NA,596246.8697,5033505.107
NA,605456.8995,5033332.822
NA,617335.6706,5056943.82
